City,Revenue per Person,Expenditure per Person,Expenditure to Revenue Ratio,Tax Revenue (% of Golden City),Intergov. Revenue (% of Golden City),Fees & Charges (% of Golden City),Fines (% of Golden City),Licenses & Permits (% of Golden City),Public Safety (% of Golden City),Public Works (% of Golden City),General Gov. (% of Golden City),Parks & Rec. (% of Golden City),Comm. & Econ. Dev. (% of Golden City),Public Health (% of Golden City),Capital Improvements (% of Golden City),Employee Benefits (% of Golden City),Pension Contributions (% of Golden City),Total Revenue (% of Golden City),Total Expenditure (% of Golden City),Revenue per Person (% of Golden City),Expenditure per Person (% of Golden City),Expenditure to Revenue Ratio (% of Golden City)
McKinney,$789.13,$765.03,0.97,25.50,30.41,51.63,68.79,65.55,50.51,69.03,35.55,74.37,73.51,71.64,58.47,32.57,31.70,29.64,46.96,72.03,61.75,82.01
Frisco,$821.65,$796.56,0.97,28.05,33.46,56.79,75.67,72.10,55.56,75.93,39.10,81.81,80.86,78.80,64.32,35.83,34.87,32.60,51.65,75.00,64.29,82.01
Pasadena,$820.35,$795.30,0.97,18.87,22.51,38.20,50.91,48.50,37.37,51.08,26.31,55.03,54.40,53.01,43.27,24.10,23.46,21.93,34.75,74.88,64.19,82.01
Killeen,$820.58,$795.53,0.97,20.40,24.33,41.30,55.03,52.44,40.41,55.22,28.44,59.50,58.81,57.31,46.78,26.06,25.36,23.71,37.57,74.90,64.21,82.01
McAllen,$819.55,$794.52,0.97,18.87,22.51,38.20,50.91,48.50,37.37,51.08,26.31,55.03,54.40,53.01,43.27,24.10,23.46,21.93,34.75,74.81,64.13,82.01
Midland,$814.88,$790.00,0.97,17.09,20.38,34.59,46.09,43.92,33.84,46.25,23.82,49.83,49.25,48.00,39.18,21.82,21.24,19.86,31.46,74.38,63.76,82.01
Denton,$819.02,$794.01,0.97,19.38,23.11,39.24,52.28,49.81,38.38,52.46,27.02,56.52,55.87,54.45,44.44,24.75,24.09,22.53,35.69,74.76,64.09,82.01
Mesquite,$820.77,$795.71,0.97,18.87,22.51,38.20,50.91,48.50,37.37,51.08,26.31,55.03,54.40,53.01,43.27,24.10,23.46,21.93,34.75,74.92,64.22,82.01
Carrollton,$820.12,$795.08,0.97,17.34,20.68,35.11,46.78,44.57,34.34,46.94,24.17,50.57,49.99,48.71,39.76,22.15,21.56,20.16,31.93,74.86,64.17,82.01
Round Rock,$814.25,$789.38,0.97,16.07,19.16,32.53,43.34,41.29,31.82,43.49,22.40,46.85,46.31,45.13,36.84,20.52,19.97,18.67,29.58,74.32,63.71,82.01
Abilene,$822.70,$797.58,0.97,16.32,19.47,33.04,44.03,41.95,32.32,44.18,22.75,47.60,47.04,45.85,37.42,20.84,20.29,18.97,30.05,75.09,64.37,82.01
Odessa,$823.36,$798.22,0.97,15.30,18.25,30.98,41.27,39.33,30.30,41.42,21.33,44.62,44.10,42.98,35.08,19.54,19.02,17.78,28.17,75.15,64.43,82.01
Pearland,$813.23,$788.39,0.97,16.07,19.16,32.53,43.34,41.29,31.82,43.49,22.40,46.85,46.31,45.13,36.84,20.52,19.97,18.67,29.58,74.23,63.63,82.01
Richardson,$812.11,$787.31,0.97,15.30,18.25,30.98,41.27,39.33,30.30,41.42,21.33,44.62,44.10,42.98,35.08,19.54,19.02,17.78,28.17,74.13,63.55,82.01
Laredo,$807.83,$783.17,0.97,33.15,39.54,67.12,89.43,85.21,65.66,89.73,46.21,96.68,95.56,93.13,76.02,42.34,41.21,38.53,61.05,73.74,63.21,82.01
Fargo,$847.13,$821.26,0.97,17.34,20.68,35.11,46.78,44.57,34.34,46.94,24.17,50.57,49.99,48.71,39.76,22.15,21.56,20.16,31.93,77.32,66.29,82.01
Bismarck,$863.66,$837.29,0.97,10.20,12.17,20.65,27.52,26.22,20.20,27.61,14.22,29.75,29.40,28.66,23.39,13.03,12.68,11.86,18.78,78.83,67.58,82.01
Grand Forks,$833.76,$808.30,0.97,7.65,9.12,15.49,20.64,19.66,15.15,20.71,10.66,22.31,22.05,21.49,17.54,9.77,9.51,8.89,14.09,76.10,65.24,82.01
Minot,$856.63,$830.47,0.97,6.38,7.60,12.91,17.20,16.39,12.63,17.26,8.89,18.59,18.38,17.91,14.62,8.14,7.92,7.41,11.74,78.19,67.03,82.01
West Fargo,$855.05,$828.94,0.97,5.36,6.39,10.84,14.45,13.76,10.61,14.50,7.47,15.62,15.44,15.04,12.28,6.84,6.66,6.22,9.86,78.05,66.91,82.01
Williston,$826.21,$800.99,0.97,3.83,4.56,7.74,10.32,9.83,7.58,10.35,5.33,11.16,11.03,10.75,8.77,4.89,4.75,4.45,7.04,75.42,64.65,82.01
Dickinson,$842.47,$816.74,0.97,3.32,3.95,6.71,8.94,8.52,6.57,8.97,4.62,9.67,9.56,9.31,7.60,4.23,4.12,3.85,6.10,76.90,65.92,82.01
Mandan,$840.28,$814.62,0.97,3.06,3.65,6.20,8.25,7.87,6.06,8.28,4.27,8.92,8.82,8.60,7.02,3.91,3.80,3.56,5.63,76.70,65.75,82.01
Jamestown,$835.51,"$1,269.21",1.52,2.04,2.43,4.13,5.50,5.24,4.04,5.52,2.84,5.95,5.88,5.73,4.68,2.61,25.36,2.37,5.89,76.26,102.44,128.51
Wahpeton,$827.96,"$1,257.74",1.52,1.02,1.22,2.07,2.75,2.62,2.02,2.76,1.42,2.97,2.94,2.87,2.34,1.30,12.68,1.19,2.94,75.57,101.52,128.51
Devils Lake,$837.31,"$1,271.94",1.52,0.94,1.13,1.91,2.55,2.43,1.87,2.55,1.32,2.75,2.72,2.65,2.16,1.21,11.73,1.10,2.72,76.43,102.66,128.51
Valley City,$836.62,"$1,270.90",1.52,0.84,1.00,1.70,2.27,2.16,1.67,2.28,1.17,2.45,2.43,2.36,1.93,1.07,10.46,0.98,2.43,76.37,102.58,128.51
Grafton,$841.18,"$1,277.83",1.52,0.54,0.64,1.08,1.44,1.38,1.06,1.45,0.75,1.56,1.54,1.50,1.23,0.68,6.66,0.62,1.55,76.78,103.14,128.51
Lincoln,$854.08,"$1,297.42",1.52,0.56,0.67,1.14,1.51,1.44,1.11,1.52,0.78,1.64,1.62,1.58,1.29,0.72,6.97,0.65,1.62,77.96,104.72,128.51
Beulah,$856.77,"$1,301.50",1.52,0.41,0.49,0.83,1.10,1.05,0.81,1.10,0.57,1.19,1.18,1.15,0.94,0.52,5.07,0.47,1.18,78.20,105.05,128.51
Rugby,$819.38,"$1,244.71",1.52,0.33,0.40,0.67,0.89,0.85,0.66,0.90,0.46,0.97,0.96,0.93,0.76,0.42,4.12,0.39,0.96,74.79,100.46,128.51
Stanley,$857.70,"$1,302.92",1.52,0.31,0.36,0.62,0.83,0.79,0.61,0.83,0.43,0.89,0.88,0.86,0.70,0.39,3.80,0.36,0.88,78.29,105.16,128.51
Horace,$846.64,"$1,286.12",1.52,0.43,0.52,0.88,1.17,1.11,0.86,1.17,0.60,1.26,1.25,1.22,0.99,0.55,5.39,0.50,1.25,77.28,103.81,128.51
Lisbon,$839.74,"$1,275.64",1.52,0.28,0.33,0.57,0.76,0.72,0.56,0.76,0.39,0.82,0.81,0.79,0.64,0.36,3.49,0.33,0.81,76.65,102.96,128.51
Carrington,$815.89,"$1,239.41",1.52,0.26,0.30,0.52,0.69,0.66,0.51,0.69,0.36,0.74,0.74,0.72,0.58,0.33,3.17,0.30,0.74,74.47,100.04,128.51
Bottineau,$822.49,"$1,249.43",1.52,0.28,0.33,0.57,0.76,0.72,0.56,0.76,0.39,0.82,0.81,0.79,0.64,0.36,3.49,0.33,0.81,75.08,100.84,128.51
New Town,$856.05,"$1,300.41",1.52,0.36,0.43,0.72,0.96,0.92,0.71,0.97,0.50,1.04,1.03,1.00,0.82,0.46,4.44,0.41,1.03,78.14,104.96,128.51
Langdon,$846.01,"$1,285.16",1.52,0.23,0.27,0.46,0.62,0.59,0.45,0.62,0.32,0.67,0.66,0.64,0.53,0.29,2.85,0.27,0.66,77.22,103.73,128.51
Casselton,$848.78,"$1,289.37",1.52,0.33,0.40,0.67,0.89,0.85,0.66,0.90,0.46,0.97,0.96,0.93,0.76,0.42,4.12,0.39,0.96,77.48,104.07,128.51
Hazen,$836.53,"$1,270.75",1.52,0.31,0.36,0.62,0.83,0.79,0.61,0.83,0.43,0.89,0.88,0.86,0.70,0.39,3.80,0.36,0.88,76.36,102.57,128.51
Watford City,$825.95,"$1,254.68",1.52,0.89,1.06,1.81,2.41,2.29,1.77,2.42,1.24,2.60,2.57,2.51,2.05,1.14,11.09,1.04,2.58,75.39,101.27,128.51
Harvey,$807.64,"$5,665.84",7.02,0.20,0.24,0.41,0.55,0.52,0.40,0.55,0.28,0.59,0.59,0.57,0.47,0.26,25.36,0.24,2.72,73.72,457.30,593.48
Bowman,$840.82,"$5,898.59",7.02,0.20,0.24,0.41,0.55,0.52,0.40,0.55,0.28,0.59,0.59,0.57,0.47,0.26,25.36,0.24,2.72,76.75,476.09,593.48
Tioga,$875.24,"$1,329.57",1.52,0.28,0.33,0.57,0.76,0.72,0.56,0.76,0.39,0.82,0.81,0.79,0.64,0.36,3.49,0.33,0.81,79.89,107.31,128.51
Surrey,$850.97,"$5,969.75",7.02,0.18,0.21,0.36,0.48,0.46,0.35,0.48,0.25,0.52,0.51,0.50,0.41,0.23,22.19,0.21,2.38,77.67,481.83,593.48
Golden City (Average),"$1,095.55","$1,238.97",1.18,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
