City,Population,Public Safety,Public Works,Parks & Rec.,Comm. & Econ. Dev.,Public Health,Public Safety per Person,Public Works per Person,Parks & Rec. per Person,Comm. & Econ. Dev. per Person,Public Health per Person,Tax Revenue (% of Golden City),Intergov. Revenue (% of Golden City),Fees & Charges (% of Golden City),Fines (% of Golden City),Licenses & Permits (% of Golden City),Public Safety (% of Golden City),Public Works (% of Golden City),General Gov. (% of Golden City),Parks & Rec. (% of Golden City),Comm. & Econ. Dev. (% of Golden City),Public Health (% of Golden City),Capital Improvements (% of Golden City),Employee Benefits (% of Golden City),Pension Contributions (% of Golden City),Total Revenue (% of Golden City),Total Expenditure (% of Golden City),Revenue per Person (% of Golden City),Expenditure per Person (% of Golden City),Expenditure to Revenue Ratio (% of Golden City)
De Pere,"25,335.00","$6,500,000.00","$2,600,000.00","$1,300,000.00","$1,000,000.00","$200,000.00",$256.56,$102.62,$51.31,$39.47,$7.89,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,76.74,65.63,81.82
Muskego,"25,145.00","$6,500,000.00","$2,600,000.00","$1,300,000.00","$1,000,000.00","$200,000.00",$258.50,$103.40,$51.70,$39.77,$7.95,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,77.32,66.12,81.82
Mequon,"25,142.00","$6,500,000.00","$2,600,000.00","$1,300,000.00","$1,000,000.00","$200,000.00",$258.53,$103.41,$51.71,$39.77,$7.95,3.32,3.95,6.61,11.01,8.74,6.57,8.97,4.50,9.67,9.80,11.46,7.60,4.17,4.12,3.86,6.09,77.33,66.13,81.82
Oconomowoc,"18,798.00","$4,500,000.00","$1,800,000.00","$9,000,000.00","$700,000.00","$100,000.00",$239.39,$95.75,$478.77,$37.24,$5.32,2.30,2.74,4.54,5.50,6.12,4.55,6.21,3.08,66.93,6.86,5.73,5.26,2.87,28.53,2.66,8.99,71.38,130.53,174.95
Watertown,"22,558.00","$5,500,000.00","$2,200,000.00","$1,100,000.00","$800,000.00","$100,000.00",$243.82,$97.53,$48.76,$35.46,$4.43,2.81,3.35,5.58,5.50,6.99,5.56,7.59,3.79,8.18,7.84,5.73,6.43,3.52,3.49,3.24,5.12,72.43,61.90,81.76
Wisconsin Rapids,"18,184.00","$4,500,000.00","$1,800,000.00","$9,000,000.00","$700,000.00","$100,000.00",$247.47,$98.99,$494.94,$38.50,$5.50,2.30,2.74,4.54,5.50,6.12,4.55,6.21,3.08,66.93,6.86,5.73,5.26,2.87,28.53,2.66,8.99,73.79,134.94,174.95
Miami,"449,514.00","$152,500,000.00","$61,000,000.00","$30,500,000.00","$22,900,000.00","$3,800,000.00",$339.26,$135.70,$67.85,$50.94,$8.45,77.78,92.76,157.36,209.13,200.13,154.04,210.53,108.31,226.83,224.44,217.78,178.35,99.27,96.68,90.40,143.20,101.41,86.92,82.01
Tampa,"398,173.00","$125,000,000.00","$50,000,000.00","$25,000,000.00","$18,700,000.00","$3,100,000.00",$313.93,$125.57,$62.79,$46.96,$7.79,63.75,76.04,129.07,170.60,163.43,126.27,172.56,88.87,185.93,183.28,177.66,146.19,81.43,79.25,74.09,117.37,93.83,80.43,82.01
Orlando,"316,081.00","$100,000,000.00","$40,000,000.00","$20,000,000.00","$15,000,000.00","$2,500,000.00",$316.37,$126.55,$63.27,$47.46,$7.91,51.00,60.83,103.25,137.58,131.09,101.01,138.05,71.10,148.74,147.01,143.28,116.95,65.14,63.40,59.28,93.92,94.58,81.07,82.01
Jacksonville,"971,319.00","$300,000,000.00","$120,000,000.00","$60,000,000.00","$45,000,000.00","$7,500,000.00",$308.86,$123.54,$61.77,$46.33,$7.72,153.01,182.48,309.76,412.75,393.27,303.04,414.15,213.30,446.23,441.04,429.83,350.85,195.42,190.19,177.84,281.75,92.33,79.15,82.01
St. Petersburg,"266,082.00","$85,000,000.00","$34,000,000.00","$17,000,000.00","$12,700,000.00","$2,100,000.00",$319.45,$127.78,$63.89,$47.73,$7.89,43.35,51.70,87.77,115.57,110.99,85.86,117.34,60.43,126.43,124.47,120.35,99.41,55.37,53.89,50.38,79.81,95.47,81.84,82.01
Hialeah,"220,490.00","$70,000,000.00","$28,000,000.00","$14,000,000.00","$10,500,000.00","$1,700,000.00",$317.47,$126.99,$63.49,$47.62,$7.71,35.70,42.58,72.28,93.56,91.76,70.71,96.64,49.77,104.12,102.91,97.43,81.86,45.60,44.38,41.49,65.73,94.88,81.34,82.01
Tallahassee,"202,731.00","$65,000,000.00","$26,000,000.00","$13,000,000.00","$9,700,000.00","$1,600,000.00",$320.62,$128.25,$64.12,$47.85,$7.89,33.15,39.54,67.12,88.05,84.77,65.66,89.73,46.21,96.68,95.07,91.70,76.02,42.34,41.21,38.52,61.02,95.81,82.13,82.01
Fort Lauderdale,"183,146.00","$60,000,000.00","$24,000,000.00","$12,000,000.00","$9,000,000.00","$1,500,000.00",$327.61,$131.04,$65.52,$49.14,$8.19,30.60,36.50,61.95,82.55,78.65,60.61,82.83,42.66,89.25,88.21,85.97,70.17,39.08,38.04,35.57,56.35,97.93,83.95,82.01
Cape Coral,"216,992.00","$70,000,000.00","$28,000,000.00","$14,000,000.00","$10,500,000.00","$1,700,000.00",$322.59,$129.04,$64.52,$48.39,$7.83,35.70,42.58,72.28,93.56,91.76,70.71,96.64,49.77,104.12,102.91,97.43,81.86,45.60,44.38,41.49,65.73,96.41,82.65,82.01
Pembroke Pines,"171,178.00","$55,000,000.00","$22,000,000.00","$11,000,000.00","$8,200,000.00","$1,400,000.00",$321.30,$128.52,$64.26,$47.90,$8.18,28.05,33.46,56.79,77.05,71.66,55.56,75.93,39.10,81.81,80.37,80.24,64.32,35.83,34.87,32.60,51.65,96.04,82.33,82.01
Hollywood,"153,131.00","$50,000,000.00","$20,000,000.00","$10,000,000.00","$7,500,000.00","$1,200,000.00",$326.52,$130.61,$65.30,$48.98,$7.84,25.50,30.41,51.63,66.04,65.55,50.51,69.03,35.55,74.37,73.51,68.77,58.47,32.57,31.70,29.63,46.94,97.58,83.65,82.01
Gainesville,"145,214.00","$47,500,000.00","$19,000,000.00","$9,500,000.00","$7,100,000.00","$1,200,000.00",$327.10,$130.84,$65.42,$48.89,$8.26,24.23,28.89,48.94,66.04,62.05,47.98,65.57,33.65,70.65,69.59,68.77,55.55,30.88,30.11,28.15,44.58,97.74,83.76,81.99
Miramar,"137,132.00","$45,000,000.00","$18,000,000.00","$9,000,000.00","$6,700,000.00","$1,100,000.00",$328.15,$131.26,$65.63,$48.86,$8.02,22.95,27.37,46.46,60.54,58.55,45.46,62.12,31.99,66.93,65.67,63.04,52.63,29.31,28.53,26.66,42.24,98.05,84.05,82.01
Coral Springs,"132,568.00","$43,500,000.00","$17,400,000.00","$8,700,000.00","$6,500,000.00","$1,100,000.00",$328.13,$131.25,$65.63,$49.03,$8.30,22.19,26.46,44.81,60.54,56.81,43.94,60.05,30.81,64.70,63.71,63.04,50.87,28.27,27.58,25.78,40.82,98.05,84.02,81.98
Clearwater,"117,027.00","$38,000,000.00","$15,200,000.00","$7,600,000.00","$5,700,000.00","$900,000.00",$324.71,$129.88,$64.94,$48.71,$7.69,19.38,23.11,39.24,49.53,49.81,38.38,52.46,27.02,56.52,55.87,51.58,44.44,24.75,24.09,22.52,35.67,97.03,83.18,82.01
Palm Bay,"129,185.00","$42,500,000.00","$17,000,000.00","$8,500,000.00","$6,300,000.00","$1,100,000.00",$328.99,$131.59,$65.80,$48.77,$8.51,21.68,25.85,43.78,60.54,55.06,42.93,58.67,30.10,63.22,61.75,63.04,49.70,27.62,26.94,25.18,39.87,98.28,84.22,81.98
West Palm Beach,"123,988.00","$40,500,000.00","$16,200,000.00","$8,100,000.00","$6,100,000.00","$1,000,000.00",$326.64,$130.66,$65.33,$49.20,$8.07,20.66,24.64,41.71,55.03,53.31,40.91,55.91,28.68,60.24,59.79,57.31,47.36,26.32,25.68,24.00,38.01,97.62,83.65,81.98
Lakeland,"116,674.00","$38,000,000.00","$15,200,000.00","$7,600,000.00","$5,700,000.00","$900,000.00",$325.69,$130.28,$65.14,$48.85,$7.71,19.38,23.11,39.24,49.53,49.81,38.38,52.46,27.02,56.52,55.87,51.58,44.44,24.75,24.09,22.52,35.67,97.32,83.43,82.01
Pompano Beach,"112,754.00","$36,500,000.00","$14,600,000.00","$7,300,000.00","$5,500,000.00","$900,000.00",$323.71,$129.49,$64.74,$48.78,$7.98,18.62,22.20,37.58,49.53,48.07,36.87,50.39,25.83,54.29,53.91,51.58,42.69,23.71,23.14,21.63,34.25,96.74,82.89,81.98
Miami Gardens,"110,497.00","$36,000,000.00","$14,400,000.00","$7,200,000.00","$5,400,000.00","$900,000.00",$325.80,$130.32,$65.16,$48.87,$8.15,18.36,21.90,37.17,49.53,47.19,36.36,49.70,25.60,53.55,52.93,51.58,42.10,23.45,22.82,21.34,33.81,97.39,83.49,82.01
Davie,"106,513.00","$34,500,000.00","$13,800,000.00","$6,900,000.00","$5,200,000.00","$900,000.00",$323.90,$129.56,$64.78,$48.82,$8.45,17.60,20.99,35.52,49.53,45.44,34.85,47.63,24.41,51.32,50.97,51.58,40.35,22.41,21.87,20.45,32.39,96.84,82.98,81.98
Sunrise,"97,535.00","$31,500,000.00","$12,600,000.00","$6,300,000.00","$4,700,000.00","$800,000.00",$322.96,$129.18,$64.59,$48.19,$8.20,16.07,19.16,32.42,44.03,41.07,31.82,43.49,22.28,46.85,46.06,45.85,36.84,20.45,19.97,18.66,29.55,96.49,82.67,81.97
Plantation,"95,286.00","$31,000,000.00","$12,400,000.00","$6,200,000.00","$4,600,000.00","$800,000.00",$325.34,$130.13,$65.07,$48.28,$8.40,15.81,18.86,32.01,44.03,40.20,31.31,42.80,22.04,46.11,45.08,45.85,36.25,20.19,19.65,18.37,29.11,97.23,83.35,82.01
Boca Raton,"100,967.00","$32,500,000.00","$13,000,000.00","$6,500,000.00","$4,900,000.00","$800,000.00",$321.89,$128.75,$64.38,$48.53,$7.92,16.58,19.77,33.45,44.03,42.82,32.83,44.87,22.99,48.34,48.02,45.85,38.01,21.11,20.60,19.26,30.50,96.19,82.42,81.97
Deltona,"95,182.00","$31,000,000.00","$12,400,000.00","$6,200,000.00","$4,600,000.00","$800,000.00",$325.69,$130.28,$65.14,$48.33,$8.40,15.81,18.86,32.01,44.03,40.20,31.31,42.80,22.04,46.11,45.08,45.85,36.25,20.19,19.65,18.37,29.11,97.34,83.44,82.01
Largo,"82,949.00","$27,000,000.00","$10,800,000.00","$5,400,000.00","$4,000,000.00","$700,000.00",$325.50,$130.20,$65.10,$48.22,$8.44,13.77,16.42,27.88,38.52,34.96,27.27,37.27,19.20,40.16,39.20,40.12,31.58,17.59,17.12,16.00,25.35,97.28,83.39,82.01
Melbourne,"86,743.00","$28,000,000.00","$11,200,000.00","$5,600,000.00","$4,200,000.00","$700,000.00",$322.79,$129.12,$64.56,$48.42,$8.07,14.28,17.03,28.91,38.52,36.71,28.28,38.65,19.91,41.65,41.16,40.12,32.75,18.24,17.75,16.60,26.30,96.49,82.72,82.01
Homestead,"80,407.00","$26,000,000.00","$10,400,000.00","$5,200,000.00","$3,900,000.00","$600,000.00",$323.35,$129.34,$64.67,$48.50,$7.46,13.26,15.82,26.85,33.02,34.08,26.26,35.89,18.49,38.67,38.22,34.39,30.41,16.94,16.48,15.40,24.40,96.61,82.81,82.01
Kissimmee,"79,929.00","$26,000,000.00","$10,400,000.00","$5,200,000.00","$3,900,000.00","$600,000.00",$325.29,$130.12,$65.06,$48.79,$7.51,13.26,15.82,26.85,33.02,34.08,26.26,35.89,18.49,38.67,38.22,34.39,30.41,16.94,16.48,15.40,24.40,97.18,83.31,82.01
Port St. Lucie,"231,287.00","$75,000,000.00","$30,000,000.00","$15,000,000.00","$11,200,000.00","$1,900,000.00",$324.27,$129.71,$64.85,$48.42,$8.21,38.25,45.62,77.44,104.56,97.88,75.76,103.54,53.32,111.56,109.77,108.89,87.71,48.86,47.55,44.46,70.43,96.93,83.09,82.01
Houston,"2,288,250.00","$594,000,000.00","$237,600,000.00","$118,800,000.00","$89,100,000.00","$14,850,000.00",$259.59,$103.83,$51.92,$38.94,$6.49,302.96,361.32,613.33,817.24,778.68,600.02,820.02,422.33,883.53,873.27,851.07,694.68,386.93,376.58,352.13,557.86,77.60,66.52,82.01
Austin,"979,882.00","$260,000,000.00","$104,000,000.00","$52,000,000.00","$39,000,000.00","$6,500,000.00",$265.34,$106.14,$53.07,$39.80,$6.63,132.61,158.15,268.46,357.72,340.83,262.63,358.93,184.86,386.73,382.24,372.52,304.07,169.36,164.84,154.13,244.18,79.32,68.00,82.01
San Antonio,"1,473,298.00","$350,000,000.00","$140,000,000.00","$70,000,000.00","$52,500,000.00","$8,750,000.00",$237.56,$95.02,$47.51,$35.63,$5.94,178.51,212.90,361.39,481.54,458.82,353.55,483.18,248.85,520.60,514.55,501.47,409.32,227.99,221.89,207.48,328.71,71.02,60.88,82.01
Dallas,"1,299,544.00","$325,000,000.00","$130,000,000.00","$65,000,000.00","$48,750,000.00","$8,125,000.00",$250.09,$100.04,$50.02,$37.51,$6.25,165.76,197.69,335.58,447.15,426.04,328.29,448.66,231.07,483.41,477.80,465.65,380.09,211.71,206.04,192.66,305.23,74.76,64.09,82.01
Fort Worth,"956,709.00","$240,000,000.00","$96,000,000.00","$48,000,000.00","$36,000,000.00","$6,000,000.00",$250.86,$100.34,$50.17,$37.63,$6.27,122.41,145.99,247.81,330.20,314.62,242.43,331.32,170.64,356.98,352.84,343.87,280.68,156.34,152.16,142.28,225.40,74.99,64.29,82.01
El Paso,"678,879.00","$170,000,000.00","$68,000,000.00","$34,000,000.00","$25,500,000.00","$4,250,000.00",$250.41,$100.17,$50.08,$37.56,$6.26,86.71,103.41,175.53,233.89,222.85,171.72,234.69,120.87,252.86,249.93,243.57,198.81,110.74,107.78,100.78,159.66,74.86,64.17,82.01
Arlington,"398,431.00","$100,000,000.00","$40,000,000.00","$20,000,000.00","$15,000,000.00","$2,500,000.00",$250.98,$100.39,$50.20,$37.65,$6.27,51.00,60.83,103.25,137.58,131.09,101.01,138.05,71.10,148.74,147.01,143.28,116.95,65.14,63.40,59.28,93.92,75.03,64.32,82.01
Corpus Christi,"316,239.00","$80,000,000.00","$32,000,000.00","$16,000,000.00","$12,000,000.00","$2,000,000.00",$252.97,$101.19,$50.59,$37.95,$6.32,40.80,48.66,82.60,110.07,104.87,80.81,110.44,56.88,118.99,117.61,114.62,93.56,52.11,50.72,47.43,75.13,75.62,64.83,82.01
Plano,"289,547.00","$75,000,000.00","$30,000,000.00","$15,000,000.00","$11,250,000.00","$1,875,000.00",$259.03,$103.61,$51.81,$38.85,$6.48,38.25,45.62,77.44,103.19,98.32,75.76,103.54,53.32,111.56,110.26,107.46,87.71,48.86,47.55,44.46,70.44,77.43,66.38,82.01
Lubbock,"263,930.00","$65,000,000.00","$26,000,000.00","$13,000,000.00","$9,750,000.00","$1,625,000.00",$246.28,$98.51,$49.26,$36.94,$6.16,33.15,39.54,67.12,89.43,85.21,65.66,89.73,46.21,96.68,95.56,93.13,76.02,42.34,41.21,38.53,61.05,73.62,63.11,82.01
Garland,"241,845.00","$60,000,000.00","$24,000,000.00","$12,000,000.00","$9,000,000.00","$1,500,000.00",$248.09,$99.24,$49.62,$37.21,$6.20,30.60,36.50,61.95,82.55,78.65,60.61,82.83,42.66,89.25,88.21,85.97,70.17,39.08,38.04,35.57,56.35,74.16,63.58,82.01
Irving,"258,939.00","$65,000,000.00","$26,000,000.00","$13,000,000.00","$9,750,000.00","$1,625,000.00",$251.02,$100.41,$50.20,$37.65,$6.28,33.15,39.54,67.12,89.43,85.21,65.66,89.73,46.21,96.68,95.56,93.13,76.02,42.34,41.21,38.53,61.05,75.04,64.33,82.01
Amarillo,"202,408.00","$50,000,000.00","$20,000,000.00","$10,000,000.00","$7,500,000.00","$1,250,000.00",$247.03,$98.81,$49.41,$37.05,$6.18,25.50,30.41,51.63,68.79,65.55,50.51,69.03,35.55,74.37,73.51,71.64,58.47,32.57,31.70,29.64,46.96,73.84,63.30,82.01
Grand Prairie,"201,843.00","$50,000,000.00","$20,000,000.00","$10,000,000.00","$7,500,000.00","$1,250,000.00",$247.72,$99.09,$49.54,$37.16,$6.19,25.50,30.41,51.63,68.79,65.55,50.51,69.03,35.55,74.37,73.51,71.64,58.47,32.57,31.70,29.64,46.96,74.05,63.48,82.01
Brownsville,"190,158.00","$47,500,000.00","$19,000,000.00","$9,500,000.00","$7,125,000.00","$1,187,500.00",$249.79,$99.92,$49.96,$37.47,$6.24,24.23,28.89,49.05,65.35,62.27,47.98,65.57,33.77,70.65,69.83,68.06,55.55,30.94,30.11,28.16,44.61,74.67,64.01,82.01
McKinney,"207,507.00","$50,000,000.00","$20,000,000.00","$10,000,000.00","$7,500,000.00","$1,250,000.00",$240.96,$96.38,$48.19,$36.14,$6.02,25.50,30.41,51.63,68.79,65.55,50.51,69.03,35.55,74.37,73.51,71.64,58.47,32.57,31.70,29.64,46.96,72.03,61.75,82.01
Frisco,"219,224.00","$55,000,000.00","$22,000,000.00","$11,000,000.00","$8,250,000.00","$1,375,000.00",$250.88,$100.35,$50.18,$37.63,$6.27,28.05,33.46,56.79,75.67,72.10,55.56,75.93,39.10,81.81,80.86,78.80,64.32,35.83,34.87,32.60,51.65,75.00,64.29,82.01
Pasadena,"147,712.00","$37,000,000.00","$14,800,000.00","$7,400,000.00","$5,550,000.00","$925,000.00",$250.49,$100.19,$50.10,$37.57,$6.26,18.87,22.51,38.20,50.91,48.50,37.37,51.08,26.31,55.03,54.40,53.01,43.27,24.10,23.46,21.93,34.75,74.88,64.19,82.01
Killeen,"159,643.00","$40,000,000.00","$16,000,000.00","$8,000,000.00","$6,000,000.00","$1,000,000.00",$250.56,$100.22,$50.11,$37.58,$6.26,20.40,24.33,41.30,55.03,52.44,40.41,55.22,28.44,59.50,58.81,57.31,46.78,26.06,25.36,23.71,37.57,74.90,64.21,82.01
McAllen,"147,856.00","$37,000,000.00","$14,800,000.00","$7,400,000.00","$5,550,000.00","$925,000.00",$250.24,$100.10,$50.05,$37.54,$6.26,18.87,22.51,38.20,50.91,48.50,37.37,51.08,26.31,55.03,54.40,53.01,43.27,24.10,23.46,21.93,34.75,74.81,64.13,82.01
Midland,"134,636.00","$33,500,000.00","$13,400,000.00","$6,700,000.00","$5,025,000.00","$837,500.00",$248.82,$99.53,$49.76,$37.32,$6.22,17.09,20.38,34.59,46.09,43.92,33.84,46.25,23.82,49.83,49.25,48.00,39.18,21.82,21.24,19.86,31.46,74.38,63.76,82.01
Denton,"151,950.00","$38,000,000.00","$15,200,000.00","$7,600,000.00","$5,700,000.00","$950,000.00",$250.08,$100.03,$50.02,$37.51,$6.25,19.38,23.11,39.24,52.28,49.81,38.38,52.46,27.02,56.52,55.87,54.45,44.44,24.75,24.09,22.53,35.69,74.76,64.09,82.01
Mesquite,"147,636.00","$37,000,000.00","$14,800,000.00","$7,400,000.00","$5,550,000.00","$925,000.00",$250.62,$100.25,$50.12,$37.59,$6.27,18.87,22.51,38.20,50.91,48.50,37.37,51.08,26.31,55.03,54.40,53.01,43.27,24.10,23.46,21.93,34.75,74.92,64.22,82.01
Carrollton,"135,773.00","$34,000,000.00","$13,600,000.00","$6,800,000.00","$5,100,000.00","$850,000.00",$250.42,$100.17,$50.08,$37.56,$6.26,17.34,20.68,35.11,46.78,44.57,34.34,46.94,24.17,50.57,49.99,48.71,39.76,22.15,21.56,20.16,31.93,74.86,64.17,82.01
Round Rock,"126,697.00","$31,500,000.00","$12,600,000.00","$6,300,000.00","$4,725,000.00","$787,500.00",$248.62,$99.45,$49.72,$37.29,$6.22,16.07,19.16,32.53,43.34,41.29,31.82,43.49,22.40,46.85,46.31,45.13,36.84,20.52,19.97,18.67,29.58,74.32,63.71,82.01
Abilene,"127,385.00","$32,000,000.00","$12,800,000.00","$6,400,000.00","$4,800,000.00","$800,000.00",$251.21,$100.48,$50.24,$37.68,$6.28,16.32,19.47,33.04,44.03,41.95,32.32,44.18,22.75,47.60,47.04,45.85,37.42,20.84,20.29,18.97,30.05,75.09,64.37,82.01
Odessa,"119,328.00","$30,000,000.00","$12,000,000.00","$6,000,000.00","$4,500,000.00","$750,000.00",$251.41,$100.56,$50.28,$37.71,$6.29,15.30,18.25,30.98,41.27,39.33,30.30,41.42,21.33,44.62,44.10,42.98,35.08,19.54,19.02,17.78,28.17,75.15,64.43,82.01
Pearland,"126,856.00","$31,500,000.00","$12,600,000.00","$6,300,000.00","$4,725,000.00","$787,500.00",$248.31,$99.33,$49.66,$37.25,$6.21,16.07,19.16,32.53,43.34,41.29,31.82,43.49,22.40,46.85,46.31,45.13,36.84,20.52,19.97,18.67,29.58,74.23,63.63,82.01
Richardson,"120,981.00","$30,000,000.00","$12,000,000.00","$6,000,000.00","$4,500,000.00","$750,000.00",$247.97,$99.19,$49.59,$37.20,$6.20,15.30,18.25,30.98,41.27,39.33,30.30,41.42,21.33,44.62,44.10,42.98,35.08,19.54,19.02,17.78,28.17,74.13,63.55,82.01
Laredo,"263,513.00","$65,000,000.00","$26,000,000.00","$13,000,000.00","$9,750,000.00","$1,625,000.00",$246.67,$98.67,$49.33,$37.00,$6.17,33.15,39.54,67.12,89.43,85.21,65.66,89.73,46.21,96.68,95.56,93.13,76.02,42.34,41.21,38.53,61.05,73.74,63.21,82.01
Fargo,"131,444.00","$34,000,000.00","$13,600,000.00","$6,800,000.00","$5,100,000.00","$850,000.00",$258.67,$103.47,$51.73,$38.80,$6.47,17.34,20.68,35.11,46.78,44.57,34.34,46.94,24.17,50.57,49.99,48.71,39.76,22.15,21.56,20.16,31.93,77.32,66.29,82.01
Bismarck,"75,840.00","$20,000,000.00","$8,000,000.00","$4,000,000.00","$3,000,000.00","$500,000.00",$263.71,$105.49,$52.74,$39.56,$6.59,10.20,12.17,20.65,27.52,26.22,20.20,27.61,14.22,29.75,29.40,28.66,23.39,13.03,12.68,11.86,18.78,78.83,67.58,82.01
Grand Forks,"58,920.00","$15,000,000.00","$6,000,000.00","$3,000,000.00","$2,250,000.00","$375,000.00",$254.58,$101.83,$50.92,$38.19,$6.36,7.65,9.12,15.49,20.64,19.66,15.15,20.71,10.66,22.31,22.05,21.49,17.54,9.77,9.51,8.89,14.09,76.10,65.24,82.01
Minot,"47,789.00","$12,500,000.00","$5,000,000.00","$2,500,000.00","$1,875,000.00","$312,500.00",$261.57,$104.63,$52.31,$39.23,$6.54,6.38,7.60,12.91,17.20,16.39,12.63,17.26,8.89,18.59,18.38,17.91,14.62,8.14,7.92,7.41,11.74,78.19,67.03,82.01
West Fargo,"40,217.00","$10,500,000.00","$4,200,000.00","$2,100,000.00","$1,575,000.00","$262,500.00",$261.08,$104.43,$52.22,$39.16,$6.53,5.36,6.39,10.84,14.45,13.76,10.61,14.50,7.47,15.62,15.44,15.04,12.28,6.84,6.66,6.22,9.86,78.05,66.91,82.01
Williston,"29,729.00","$7,500,000.00","$3,000,000.00","$1,500,000.00","$1,125,000.00","$187,500.00",$252.28,$100.91,$50.46,$37.84,$6.31,3.83,4.56,7.74,10.32,9.83,7.58,10.35,5.33,11.16,11.03,10.75,8.77,4.89,4.75,4.45,7.04,75.42,64.65,82.01
Dickinson,"25,268.00","$6,500,000.00","$2,600,000.00","$1,300,000.00","$975,000.00","$162,500.00",$257.24,$102.90,$51.45,$38.59,$6.43,3.32,3.95,6.71,8.94,8.52,6.57,8.97,4.62,9.67,9.56,9.31,7.60,4.23,4.12,3.85,6.10,76.90,65.92,82.01
Mandan,"23,385.00","$6,000,000.00","$2,400,000.00","$1,200,000.00","$900,000.00","$150,000.00",$256.57,$102.63,$51.31,$38.49,$6.41,3.06,3.65,6.20,8.25,7.87,6.06,8.28,4.27,8.92,8.82,8.60,7.02,3.91,3.80,3.56,5.63,76.70,65.75,82.01
Jamestown,"15,679.00","$4,000,000.00","$1,600,000.00","$800,000.00","$600,000.00","$100,000.00",$255.12,$102.05,$51.02,$38.27,$6.38,2.04,2.43,4.13,5.50,5.24,4.04,5.52,2.84,5.95,5.88,5.73,4.68,2.61,25.36,2.37,5.89,76.26,102.44,128.51
Wahpeton,"7,911.00","$2,000,000.00","$800,000.00","$400,000.00","$300,000.00","$50,000.00",$252.81,$101.13,$50.56,$37.92,$6.32,1.02,1.22,2.07,2.75,2.62,2.02,2.76,1.42,2.97,2.94,2.87,2.34,1.30,12.68,1.19,2.94,75.57,101.52,128.51
Devils Lake,"7,236.00","$1,850,000.00","$740,000.00","$370,000.00","$277,500.00","$46,250.00",$255.67,$102.27,$51.13,$38.35,$6.39,0.94,1.13,1.91,2.55,2.43,1.87,2.55,1.32,2.75,2.72,2.65,2.16,1.21,11.73,1.10,2.72,76.43,102.66,128.51
Valley City,"6,459.00","$1,650,000.00","$660,000.00","$330,000.00","$247,500.00","$41,250.00",$255.46,$102.18,$51.09,$38.32,$6.39,0.84,1.00,1.70,2.27,2.16,1.67,2.28,1.17,2.45,2.43,2.36,1.93,1.07,10.46,0.98,2.43,76.37,102.58,128.51
Grafton,"4,088.00","$1,050,000.00","$420,000.00","$210,000.00","$157,500.00","$26,250.00",$256.85,$102.74,$51.37,$38.53,$6.42,0.54,0.64,1.08,1.44,1.38,1.06,1.45,0.75,1.56,1.54,1.50,1.23,0.68,6.66,0.62,1.55,76.78,103.14,128.51
Lincoln,"4,218.00","$1,100,000.00","$440,000.00","$220,000.00","$165,000.00","$27,500.00",$260.79,$104.31,$52.16,$39.12,$6.52,0.56,0.67,1.14,1.51,1.44,1.11,1.52,0.78,1.64,1.62,1.58,1.29,0.72,6.97,0.65,1.62,77.96,104.72,128.51
Beulah,"3,058.00","$800,000.00","$320,000.00","$160,000.00","$120,000.00","$20,000.00",$261.61,$104.64,$52.32,$39.24,$6.54,0.41,0.49,0.83,1.10,1.05,0.81,1.10,0.57,1.19,1.18,1.15,0.94,0.52,5.07,0.47,1.18,78.20,105.05,128.51
Rugby,"2,598.00","$650,000.00","$260,000.00","$130,000.00","$97,500.00","$16,250.00",$250.19,$100.08,$50.04,$37.53,$6.25,0.33,0.40,0.67,0.89,0.85,0.66,0.90,0.46,0.97,0.96,0.93,0.76,0.42,4.12,0.39,0.96,74.79,100.46,128.51
Stanley,"2,291.00","$600,000.00","$240,000.00","$120,000.00","$90,000.00","$15,000.00",$261.89,$104.76,$52.38,$39.28,$6.55,0.31,0.36,0.62,0.83,0.79,0.61,0.83,0.43,0.89,0.88,0.86,0.70,0.39,3.80,0.36,0.88,78.29,105.16,128.51
Horace,"3,288.00","$850,000.00","$340,000.00","$170,000.00","$127,500.00","$21,250.00",$258.52,$103.41,$51.70,$38.78,$6.46,0.43,0.52,0.88,1.17,1.11,0.86,1.17,0.60,1.26,1.25,1.22,0.99,0.55,5.39,0.50,1.25,77.28,103.81,128.51
Lisbon,"2,145.00","$550,000.00","$220,000.00","$110,000.00","$82,500.00","$13,750.00",$256.41,$102.56,$51.28,$38.46,$6.41,0.28,0.33,0.57,0.76,0.72,0.56,0.76,0.39,0.82,0.81,0.79,0.64,0.36,3.49,0.33,0.81,76.65,102.96,128.51
Carrington,"2,007.00","$500,000.00","$200,000.00","$100,000.00","$75,000.00","$12,500.00",$249.13,$99.65,$49.83,$37.37,$6.23,0.26,0.30,0.52,0.69,0.66,0.51,0.69,0.36,0.74,0.74,0.72,0.58,0.33,3.17,0.30,0.74,74.47,100.04,128.51
